code_of,produit,machine,cadence_theorique_saisie,cadence_reelle_observee
WH/MO/53958_FARDELEUSE,[PK168 PK] - VAO SHAMPOOING Avocat 300ml,Fardeleuse automatique N°1,0.03,0.62
WH/MO/53958_REMPLISSUSE,[PK168] - VAO SHAMPOOING Avocat 300ml,Etiquetteuse automatique N°1,3.29,7.44
WH/MO/53917_REMPLISSEUSE,[PK474] - IMPEC Lessive liquide EXPRESS 300ml,Remplisseuse automatique N°02,5.38,13.25
WH/MO/53917_FARDELEUSE,[PK474 PK] - IMPEC Lessive liquide EXPRESS 300ml,Fardeleuse automatique N°1,1.4,2.03
WH/MO/53596,[VR029] - IMPEC Lave sol citron vrac,Mélangeur 2 tonnes N°4,0.03,43.32
WH/MO/53676,[PF324] - IMPEC Vaisselle assorti Maxi 1L,Scotcheuse IMPEC,2.0,2.41
WH/MO/53622,[PK240] - IMPEC Vaisselle fleur de cerisier Mini 250ml,Remplisseuse automatique N°01,54.0,207.1
WH/MO/53730_FARDELEUSE,[PK294 PK] - MAGNEVA Shampooing Rose 1L,Fardeleuse automatique N°1,0.0,0.28
WH/MO/53728_SCOTCHEUSE,[PF238 PF] - IMPEC Vaisselle pomme raisin Maxi 1L,Scotcheuse IMPEC,1.2,2.5
WH/MO/53728_REMPLISSEUSE,[PF238] - IMPEC Vaisselle pomme raisin Maxi 1L,Remplisseuse automatique N°02,30.0,38.47
WH/MO/53545,[VR123] - CANIDOU Shampooing Chien et Chiot vrac,Mélangeur 2 tonnes N°4,0.03,6.62
WH/MO/53732_REMPLISSEUSE,[PF016] - IMPEC Vaisselle menthe citron 5L,Remplisseuse automatique N°03,1.95,2.81
WH/MO/53727_FARDELEUSE,[PK238 PK] - IMPEC Vaisselle pomme raisin Maxi 1L,Fardeleuse automatique N°1,0.03,2.42
WH/MO/53660_part04,[PF028] - TSARA Baume Relax sachet,Ensacheuse automatique N° 9,0.03,1.91
WH/MO/53660_part03,[PF028] - TSARA Baume Relax sachet,Ensacheuse automatique N° 14,0.03,1.88
WH/MO/53660_part02,[PF028] - TSARA Baume Relax sachet,Ensacheuse automatique N° 13,0.03,1.67
WH/MO/53660_part01,[PF028] - TSARA Baume Relax sachet,Ensacheuse automatique N° 12,0.03,1.9
WH/MO/53531,[VR067] - MAGNEVA Shampooing Rose vrac,Mélangeur 2 tonnes N°4,5.0,16.34
